Date,Consumer_Discretionary,Consumer_Staples,Energy,Financials,Health_care,Industrials,Information_techology,Materials,Real_estate,Communication,Utilities
12/6/2017,2755.722415,2755.029299,1150.486533,1293.601717,2924.248902,2279.177402,3177.929255,1980.812445,1587.925315,2120.177575,2065.041716
12/7/2017,2765.409337,2732.801335,1155.62883,1297.444618,2933.163454,2296.838077,3201.012395,1994.814865,1594.614263,2110.780206,2069.489004
12/8/2017,2778.120401,2739.138238,1166.090511,1304.0003,2964.723494,2305.133605,3213.874384,1995.928617,1599.875336,2139.870565,2075.674816
12/11/2017,2785.313599,2739.157333,1175.592451,1300.498244,2973.751235,2297.855313,3238.975699,1998.092154,1600.982187,2168.58309,2086.061393
12/12/2017,2784.450906,2736.633292,1171.25705,1312.354906,2981.706498,2300.926476,3229.692922,1997.380944,1607.472382,2197.956638,2050.123366
12/13/2017,2787.035596,2750.220714,1168.95027,1296.714832,2993.591791,2310.474086,3232.971724,2002.464241,1609.842226,2208.334438,2054.732634
12/14/2017,2789.593861,2738.718403,1164.387981,1287.561442,2961.769456,2292.517133,3230.198664,1978.33127,1609.024921,2179.758526,2049.236725
12/15/2017,2807.130182,2768.8174,1162.992433,1303.186312,2996.430353,2312.426197,3269.849531,1991.063908,1617.090331,2189.463353,2059.362734
12/18/2017,2833.182425,2769.507036,1173.023011,1313.946767,2996.224026,2330.354681,3298.041227,2021.754141,1625.581111,2215.425687,2037.539128
12/19/2017,2829.567196,2773.073487,1173.645427,1307.93559,2993.131451,2328.252938,3281.803619,2019.816395,1593.820903,2186.175271,2002.42314
12/20/2017,2825.04672,2768.862574,1191.302198,1305.160425,2987.452085,2336.349545,3278.543364,2025.238799,1576.538403,2192.056685,1988.331923
12/21/2017,2842.277647,2767.293599,1217.646615,1316.491103,2981.673762,2339.076257,3269.532668,2030.547612,1571.622856,2205.09081,1966.734087
12/22/2017,2836.386473,2772.518947,1220.855515,1313.721881,2975.640867,2339.627378,3265.36756,2035.957534,1581.600224,2205.117363,1970.211702
12/25/2017,2836.386473,2772.518947,1220.855515,1313.721881,2975.640867,2339.627378,3265.36756,2035.957534,1581.600224,2205.117363,1970.211702
12/26/2017,2842.216427,2779.471932,1232.900535,1309.111283,2978.560453,2341.802065,3243.757309,2037.084981,1589.555758,2212.56489,1959.265166
12/27/2017,2836.341815,2778.742829,1228.379835,1309.119877,2985.22595,2348.068173,3249.22979,2039.027446,1595.763432,2208.037574,1968.120236
12/28/2017,2843.511794,2774.401177,1230.269459,1314.94526,2989.998891,2352.832425,3253.084398,2049.482227,1605.033918,2220.217778,1979.438147
12/29/2017,2823.447744,2773.107688,1225.413878,1305.511048,2966.477334,2345.465265,3233.24823,2042.394355,1603.984966,2196.497305,1979.531292
1/1/2018,2823.447744,2773.107688,1225.413878,1305.511048,2966.477334,2345.465265,3233.24823,2042.394355,1603.984966,2196.497305,1979.531292
1/2/2018,2863.449474,2759.683608,1247.661514,1304.620037,3005.099934,2361.444853,3278.958671,2076.612138,1597.374507,2210.333011,1963.678246
1/3/2018,2877.295633,2758.263781,1266.19502,1309.841146,3033.629422,2373.036206,3314.813765,2089.403765,1595.591059,2181.435511,1948.264834
1/4/2018,2885.086809,2765.976879,1273.905598,1322.526335,3034.201712,2390.216419,3332.115581,2103.642185,1569.279493,2191.55058,1932.938233
1/5/2018,2908.251581,2777.627665,1272.622995,1327.18769,3058.710572,2405.489369,3369.377725,2120.860945,1572.167419,2188.339162,1931.641755
1/8/2018,2912.398783,2783.812382,1280.656188,1325.22437,3044.370665,2416.586143,3384.484687,2124.520769,1580.548469,2202.630189,1948.525346
1/9/2018,2915.401061,2778.43304,1276.109627,1334.632127,3080.314152,2427.503342,3374.912813,2116.701414,1562.68656,2181.2954,1928.992212
1/10/2018,2914.168273,2765.243778,1274.820018,1345.236129,3078.171455,2423.360923,3364.922009,2109.502484,1542.225382,2163.486042,1905.349544
1/11/2018,2962.632204,2764.685397,1301.20802,1353.721887,3093.851959,2455.984745,3386.232646,2141.090832,1536.929741,2178.86832,1900.315353
1/12/2018,2996.165759,2764.254147,1312.975428,1364.582153,3115.866161,2474.606594,3406.645323,2142.103937,1525.32713,2197.045102,1889.685471
1/15/2018,2996.165759,2764.254147,1312.975428,1364.582153,3115.866161,2474.606594,3406.645323,2142.103937,1525.32713,2197.045102,1889.685471
1/16/2018,2973.636335,2775.308579,1295.807203,1358.992857,3120.329514,2451.535125,3390.682536,2115.975338,1530.031787,2173.38109,1884.677397
1/17/2018,2989.292444,2806.718738,1306.552736,1369.514512,3150.669231,2463.269315,3442.665583,2126.279237,1541.116017,2178.908052,1897.836345
1/18/2018,2987.357612,2799.396921,1294.841386,1366.214828,3150.889135,2450.184602,3448.39784,2120.538852,1524.901038,2171.77639,1885.602519
1/19/2018,3016.356863,2831.517377,1294.380381,1377.172744,3166.322898,2462.202044,3457.165324,2137.57898,1535.615795,2189.675341,1882.352276
1/22/2018,3046.102507,2852.241505,1321.367519,1387.367578,3197.901885,2461.381322,3483.277474,2133.037077,1549.417645,2229.457917,1884.414823
1/23/2018,3068.862661,2845.624838,1320.193333,1388.578545,3189.450369,2462.29015,3503.756072,2133.162304,1569.840726,2203.422786,1902.376729
1/24/2018,3077.742364,2847.907094,1316.275183,1395.185214,3195.213599,2462.462617,3471.923769,2140.219749,1563.189051,2212.98013,1893.052581
1/25/2018,3071.401749,2848.182978,1304.775584,1392.822804,3223.621315,2469.404348,3464.423454,2154.405092,1562.041363,2225.056574,1920.151264
1/26/2018,3098.509515,2865.986511,1312.680486,1402.112089,3286.635774,2495.51595,3520.821802,2161.212372,1561.840436,2246.85605,1919.649245
1/29/2018,3089.901983,2851.065521,1291.543072,1395.231574,3280.475694,2478.229222,3490.744971,2140.806831,1542.522801,2222.654994,1895.895654
1/30/2018,3071.733811,2830.924342,1264.208314,1379.875215,3213.965862,2456.37705,3455.770832,2121.250317,1533.153624,2221.702641,1898.146394
1/31/2018,3061.098038,2820.345669,1264.41194,1380.41021,3168.81769,2461.890381,3477.400209,2117.423606,1560.274933,2225.346035,1917.200193
2/1/2018,3033.436555,2807.424622,1278.348794,1395.307208,3174.388872,2460.711526,3477.87609,2093.052364,1532.694868,2244.550212,1888.602241
2/2/2018,3001.097817,2756.72553,1225.267287,1367.600542,3130.083641,2408.434565,3379.978922,2039.234248,1516.634052,2196.046134,1873.932953
2/5/2018,2899.666305,2656.123307,1173.95199,1303.226858,2991.152525,2302.422512,3246.286844,1971.646416,1472.436404,2114.886094,1839.274488
2/6/2018,2965.782169,2683.224903,1184.209981,1322.898534,3024.911598,2336.393145,3330.315722,2018.604334,1471.217291,2124.125362,1815.218035
2/7/2018,2962.178159,2673.191982,1162.764827,1325.9914,3023.046346,2341.355343,3290.34488,2003.634493,1465.447706,2132.195116,1807.794432
2/8/2018,2845.887963,2614.643925,1125.531629,1270.195603,2914.109183,2254.256205,3156.950302,1932.055114,1421.148499,2055.0074,1786.720197
2/9/2018,2864.726888,2620.369203,1124.962037,1293.223099,2952.876537,2277.207271,3231.221654,1960.557667,1453.094955,2064.815711,1826.666939
2/12/2018,2901.382963,2646.339177,1145.122995,1309.277962,2983.8484,2310.119601,3288.005544,1999.699999,1456.503466,2088.317349,1838.738374
2/13/2018,2915.9039,2657.146896,1139.33254,1315.595131,2985.842606,2315.028898,3299.391255,1999.802868,1465.365147,2095.604313,1844.415459
2/14/2018,2963.319103,2657.028409,1158.141034,1346.165258,3025.843755,2345.299697,3366.737385,2030.366768,1458.226925,2099.337132,1826.156708
2/15/2018,2989.577737,2699.306969,1156.057723,1353.898813,3060.721586,2377.301648,3430.020046,2043.555068,1473.095818,2146.647957,1864.526331
2/16/2018,2978.323596,2710.740098,1153.245049,1354.413885,3080.053903,2380.226908,3421.623154,2044.355147,1484.478705,2159.299008,1879.6706
2/19/2018,2978.323596,2710.740098,1153.245049,1354.413885,3080.053903,2380.226908,3421.623154,2044.355147,1484.478705,2159.299008,1879.6706
